staff_id,ngo_id,first_name,last_name,role,email,phone,hire_date,salary
1,13,Bibigul,Dzhakishev,Coordinator,bibigul.dzhakishev187@yahoo.com,+7 (737) 884-86-83,2015-10-19,512482
2,6,Farida,Kadyrov,Manager,farida.kadyrov282@yahoo.com,+7 (748) 241-98-12,2016-06-09,516489
3,16,Dinara,Nurgaliyev,Field Worker,dinara.nurgaliyev559@mail.ru,+7 (730) 421-52-77,2021-12-26,508784
4,16,Aidana,Zhakenov,Accountant,aidana.zhakenov939@yahoo.com,+7 (722) 686-23-72,2012-04-02,375325
5,7,Timur,Ospanov,Accountant,timur.ospanov429@mail.ru,+7 (796) 723-25-18,2017-01-09,475952
6,7,Asel,Dzhakishev,Manager,asel.dzhakishev185@yandex.kz,+7 (736) 944-20-69,2013-05-24,230085
7,4,Kairat,Tolegenov,Field Worker,kairat.tolegenov664@outlook.com,+7 (778) 948-64-85,2010-07-08,238493
8,13,Kairat,Kairatov,Assistant,kairat.kairatov206@yahoo.com,+7 (745) 378-76-58,2014-05-22,500842
9,2,Nazira,Zhumabekov,Assistant,nazira.zhumabekov485@yandex.kz,+7 (741) 784-51-68,2017-10-20,197481
10,5,Kanat,Dauletov,Manager,kanat.dauletov540@yandex.kz,+7 (778) 886-74-63,2014-04-22,484690
11,6,Aliya,Rakhimov,Manager,aliya.rakhimov336@yandex.kz,+7 (797) 673-68-27,2013-02-07,187544
12,14,Timur,Rakhimov,Accountant,timur.rakhimov892@yahoo.com,+7 (744) 300-24-97,2021-11-17,237569
13,9,Aslan,Ismailov,Manager,aslan.ismailov938@mail.ru,+7 (781) 544-76-81,2011-01-09,437264
14,16,Farida,Suleimenov,Coordinator,farida.suleimenov612@gmail.com,+7 (757) 169-43-87,2021-10-26,154116
15,16,Tamara,Kairatov,Manager,tamara.kairatov957@gmail.com,+7 (767) 794-93-86,2016-01-14,513963
16,20,Bolat,Bekbolat,Manager,bolat.bekbolat43@yandex.kz,+7 (788) 653-45-66,2022-06-18,241394
17,20,Serik,Ospanov,Manager,serik.ospanov532@gmail.com,+7 (715) 848-67-36,2010-11-09,447015
18,14,Aigul,Suleimenov,Assistant,aigul.suleimenov900@gmail.com,+7 (757) 618-83-20,2015-05-19,449600
19,6,Arman,Akhmetov,Assistant,arman.akhmetov165@outlook.com,+7 (720) 964-17-66,2019-07-19,180401
20,11,Kairat,Suleimenov,Accountant,kairat.suleimenov36@yandex.kz,+7 (783) 621-36-55,2012-10-19,228564
21,5,Oksana,Ismailov,Coordinator,oksana.ismailov106@outlook.com,+7 (758) 586-75-88,2019-04-15,256105
22,7,Saule,Ismailov,Accountant,saule.ismailov63@yahoo.com,+7 (792) 414-27-54,2023-06-14,270381
23,6,Baurzhan,Tolegenov,Field Worker,baurzhan.tolegenov385@yahoo.com,+7 (750) 370-63-55,2014-02-16,537921
24,13,Zhanar,Nurpeisov,Assistant,zhanar.nurpeisov201@yahoo.com,+7 (735) 525-21-52,2017-06-10,298220
25,18,Kuanysh,Dzhakishev,Accountant,kuanysh.dzhakishev259@yandex.kz,+7 (744) 192-59-62,2010-06-27,578601
26,14,Timur,Bekbolat,Field Worker,timur.bekbolat489@gmail.com,+7 (798) 734-56-43,2019-12-18,321000
27,2,Bolat,Dzhakishev,Field Worker,bolat.dzhakishev959@gmail.com,+7 (724) 182-20-53,2014-07-02,164172
28,1,Elmira,Bekbolat,Field Worker,elmira.bekbolat698@outlook.com,+7 (760) 370-35-33,2020-12-11,210678
29,2,Bibigul,Serikbayev,Accountant,bibigul.serikbayev325@outlook.com,+7 (750) 627-77-12,2010-03-17,539289
30,9,Askar,Omarov,Accountant,askar.omarov732@outlook.com,+7 (794) 407-96-20,2021-02-02,167040
31,16,Laura,Nurpeisov,Accountant,laura.nurpeisov242@outlook.com,+7 (775) 993-75-43,2012-02-13,513530
32,14,Bibigul,Bekbolat,Manager,bibigul.bekbolat379@mail.ru,+7 (775) 452-73-70,2011-04-16,232723
33,16,Daniyar,Kairatov,Field Worker,daniyar.kairatov717@mail.ru,+7 (742) 439-85-64,2019-02-10,244814
34,1,Dias,Tuleshov,Assistant,dias.tuleshov896@mail.ru,+7 (718) 985-14-91,2014-03-24,596018
35,16,Gulnara,Dauletov,Field Worker,gulnara.dauletov581@yandex.kz,+7 (791) 829-99-71,2018-04-12,384228
36,11,Marat,Yermekbayev,Field Worker,marat.yermekbayev224@outlook.com,+7 (717) 651-21-88,2017-10-17,200528
37,15,Laura,Baimukhanov,Coordinator,laura.baimukhanov865@yahoo.com,+7 (752) 576-47-74,2011-06-26,211037
38,19,Dinara,Ospanov,Coordinator,dinara.ospanov444@outlook.com,+7 (787) 668-97-47,2023-07-17,561608
39,1,Gulnara,Zhumabekov,Field Worker,gulnara.zhumabekov415@yahoo.com,+7 (782) 886-44-70,2015-11-26,438947
40,1,Farida,Bekbolat,Coordinator,farida.bekbolat29@outlook.com,+7 (772) 506-12-66,2016-03-03,279549
41,5,Laura,Zhumabekov,Field Worker,laura.zhumabekov786@outlook.com,+7 (720) 662-25-18,2012-09-09,158877
42,17,Arman,Dauletov,Assistant,arman.dauletov774@mail.ru,+7 (726) 801-89-44,2018-06-08,388684
43,12,Ruslan,Suleimenov,Coordinator,ruslan.suleimenov624@yahoo.com,+7 (745) 479-55-76,2020-12-25,206901
44,17,Medet,Aliyev,Accountant,medet.aliyev912@yahoo.com,+7 (793) 907-60-29,2017-09-11,496854
45,19,Aidar,Dauletov,Manager,aidar.dauletov744@yandex.kz,+7 (712) 877-43-99,2022-11-28,210554
46,1,Dinara,Baimukhanov,Coordinator,dinara.baimukhanov323@outlook.com,+7 (781) 891-26-15,2014-04-09,471564
47,19,Bolat,Yermekbayev,Field Worker,bolat.yermekbayev294@outlook.com,+7 (767) 599-29-22,2022-09-21,510377
48,2,Marat,Zhumabekov,Field Worker,marat.zhumabekov399@yandex.kz,+7 (724) 511-46-93,2015-11-08,356194
49,17,Madina,Tolegenov,Coordinator,madina.tolegenov203@yahoo.com,+7 (791) 361-44-47,2018-03-04,533409
50,19,Madina,Tuleshov,Assistant,madina.tuleshov64@mail.ru,+7 (744) 854-14-14,2016-07-21,481934
51,8,Farida,Magzumov,Assistant,farida.magzumov895@outlook.com,+7 (720) 737-71-27,2011-01-19,406740
52,20,Aslan,Nurgaliyev,Coordinator,aslan.nurgaliyev66@mail.ru,+7 (738) 716-47-41,2015-03-16,596937
53,8,Kamila,Ospanov,Accountant,kamila.ospanov555@gmail.com,+7 (745) 894-31-93,2016-12-13,362442
54,19,Marat,Kadyrov,Manager,marat.kadyrov83@yandex.kz,+7 (764) 994-15-82,2022-03-02,330736
55,14,Zhanar,Zhakenov,Field Worker,zhanar.zhakenov4@outlook.com,+7 (791) 338-12-65,2014-04-28,383659
56,9,Kamila,Aliyev,Manager,kamila.aliyev315@outlook.com,+7 (747) 704-33-88,2010-11-16,566744
57,6,Elmira,Tuleshov,Coordinator,elmira.tuleshov399@outlook.com,+7 (712) 857-12-84,2012-06-06,301815
58,1,Nazira,Zhakenov,Assistant,nazira.zhakenov706@outlook.com,+7 (783) 373-12-33,2019-08-13,220107
59,13,Medet,Kadyrov,Coordinator,medet.kadyrov93@yahoo.com,+7 (765) 960-90-70,2018-09-28,503372
60,9,Madina,Suleimenov,Assistant,madina.suleimenov5@gmail.com,+7 (734) 545-39-46,2017-11-09,284418
61,12,Zarina,Akhmetov,Manager,zarina.akhmetov513@gmail.com,+7 (764) 973-64-37,2012-12-27,304243
62,14,Aigul,Tuleshov,Manager,aigul.tuleshov344@yahoo.com,+7 (773) 702-79-14,2013-01-23,341549
63,11,Bakhyt,Ismailov,Field Worker,bakhyt.ismailov140@outlook.com,+7 (726) 464-29-53,2012-05-25,443884
64,15,Dana,Nurgaliyev,Accountant,dana.nurgaliyev642@mail.ru,+7 (734) 893-43-97,2010-06-07,477867
65,19,Rauan,Kadyrov,Accountant,rauan.kadyrov604@yahoo.com,+7 (777) 912-76-16,2021-05-28,229469
