volunteer_id,first_name,last_name,phone,email,skills,availability,registration_date
1,Aidar,Tolegenov,+7 (733) 448-38-97,aidar.tolegenov5609@outlook.com,Teaching,Weekends,2015-06-10
2,Ruslan,Kadyrov,+7 (754) 602-96-66,ruslan.kadyrov2311@mail.ru,Fundraising,Flexible,2019-01-28
3,Gulnara,Akhmetov,+7 (773) 967-55-66,gulnara.akhmetov1146@outlook.com,Fundraising,Flexible,2018-01-03
4,Elmira,Nurpeisov,+7 (763) 917-21-20,elmira.nurpeisov3915@yandex.kz,Medical Aid,Flexible,2023-07-27
5,Farida,Dauletov,+7 (772) 606-59-79,farida.dauletov8782@gmail.com,Teaching,Flexible,2019-11-02
6,Nazira,Ospanov,+7 (796) 619-44-92,nazira.ospanov9576@yahoo.com,Communication,Flexible,2023-08-11
7,Daniyar,Nurpeisov,+7 (726) 809-54-65,daniyar.nurpeisov3416@mail.ru,Medical Aid,Weekdays,2015-12-28
8,Rauan,Dzhakishev,+7 (777) 770-68-41,rauan.dzhakishev4946@yandex.kz,Community Support,Flexible,2019-07-24
9,Nurlan,Kadyrov,+7 (717) 445-98-47,nurlan.kadyrov9303@gmail.com,Communication,Weekdays,2022-09-13
10,Yerbol,Omarov,+7 (718) 549-97-58,yerbol.omarov8739@mail.ru,Medical Aid,Flexible,2019-11-08
11,Yerbol,Bekbolat,+7 (767) 104-37-36,yerbol.bekbolat967@yahoo.com,Community Support,Weekdays,2019-04-13
12,Marat,Baimukhanov,+7 (726) 290-83-83,marat.baimukhanov6080@gmail.com,Community Support,Weekdays,2019-05-22
13,Farida,Dauletov,+7 (747) 613-31-44,farida.dauletov7408@mail.ru,Communication,Weekends,2015-06-06
14,Zarina,Omarov,+7 (755) 888-78-66,zarina.omarov9841@yahoo.com,Logistics,Weekends,2021-11-27
15,Alibek,Zhakenov,+7 (795) 100-62-59,alibek.zhakenov2515@gmail.com,Community Support,Weekends,2021-11-09
16,Yerlan,Aliyev,+7 (745) 513-49-37,yerlan.aliyev4588@gmail.com,Medical Aid,Weekdays,2023-08-21
17,Elmira,Tolegenov,+7 (743) 881-22-18,elmira.tolegenov1411@yandex.kz,Community Support,Weekdays,2022-07-12
18,Baurzhan,Baimukhanov,+7 (755) 866-60-22,baurzhan.baimukhanov6232@yahoo.com,Fundraising,Weekdays,2019-02-24
19,Aslan,Magzumov,+7 (716) 822-44-72,aslan.magzumov3041@outlook.com,Logistics,Flexible,2023-08-02
20,Saltanat,Magzumov,+7 (791) 229-47-39,saltanat.magzumov4526@yandex.kz,Communication,Weekends,2022-02-05
21,Zarina,Rakhimov,+7 (781) 740-76-12,zarina.rakhimov4386@mail.ru,Logistics,Flexible,2021-07-25
22,Dinara,Nurgaliyev,+7 (717) 334-24-61,dinara.nurgaliyev1735@yandex.kz,Community Support,Flexible,2023-08-01
23,Erlan,Dauletov,+7 (772) 106-59-84,erlan.dauletov3894@mail.ru,Fundraising,Weekdays,2020-04-16
24,Madina,Ismailov,+7 (710) 894-93-68,madina.ismailov9746@outlook.com,Community Support,Flexible,2017-10-27
25,Kanat,Rakhimov,+7 (755) 192-65-75,kanat.rakhimov6503@yahoo.com,Fundraising,Weekdays,2016-07-19
26,Yerbol,Zhakenov,+7 (711) 219-87-94,yerbol.zhakenov7322@yandex.kz,Fundraising,Weekdays,2020-10-19
27,Baurzhan,Dauletov,+7 (768) 184-25-40,baurzhan.dauletov8932@gmail.com,Logistics,Flexible,2016-01-04
28,Tamara,Abdirov,+7 (751) 790-34-10,tamara.abdirov8951@outlook.com,Community Support,Weekends,2020-01-28
29,Gaukhar,Ismailov,+7 (745) 535-42-69,gaukhar.ismailov6111@gmail.com,Fundraising,Weekends,2017-02-10
30,Sultan,Tuleshov,+7 (734) 360-49-12,sultan.tuleshov9169@outlook.com,Community Support,Weekdays,2023-11-13
31,Medet,Mambetalin,+7 (790) 681-71-68,medet.mambetalin1295@mail.ru,Logistics,Flexible,2020-07-10
32,Bibigul,Kadyrov,+7 (785) 326-15-99,bibigul.kadyrov5247@gmail.com,Fundraising,Weekends,2021-12-25
33,Timur,Zhakenov,+7 (738) 831-88-10,timur.zhakenov5506@yandex.kz,Communication,Weekdays,2024-05-15
34,Baurzhan,Omarov,+7 (713) 115-83-54,baurzhan.omarov4312@gmail.com,Community Support,Flexible,2016-08-15
35,Zhanar,Tuleshov,+7 (745) 511-65-23,zhanar.tuleshov9963@mail.ru,Logistics,Weekends,2020-11-03
36,Zarina,Nurpeisov,+7 (712) 943-69-27,zarina.nurpeisov9838@mail.ru,Fundraising,Weekdays,2018-02-18
